name,gender,student_id,learning_style,homework_score,participation_score,unit_test1_score,unit_test2_score,final_exam_score,total_score,mastered_knowledge,course_name
学生1,女,202500001,收敛者,77.21,90.33,56.19,33.0,8.92,44.99,K_计算机科学_计算机科学技术,计算机基础
学生2,女,202500002,同化者,17.77,92.17,85.94,43.35,8.3,41.12,K_计算机科学_计算机科学技术,计算机基础
学生3,女,202500003,适应者,21.66,51.36,50.51,1.22,61.59,38.29,K_计算机科学_计算机科学技术,算法分析
学生4,女,202500004,发散者,69.76,41.71,34.63,13.09,7.86,30.03,K_计算机科学_计算机科学技术,数据结构
学生5,男,202500005,适应者,91.73,2.76,10.3,83.53,24.39,44.7,K_计算机科学_计算机科学技术,计算机基础
学生6,男,202500006,收敛者,80.35,90.86,37.67,45.43,27.2,49.94,K_计算机科学_计算机科学技术,算法分析
学生7,男,202500007,发散者,2.74,63.1,60.71,86.06,53.55,52.28,K_计算机科学_计算机科学技术,数据结构
学生8,女,202500008,同化者,34.79,82.74,63.31,28.11,62.35,52.22,K_计算机科学_计算机科学技术,计算机基础
学生9,女,202500009,发散者,87.99,64.71,63.2,19.6,99.43,70.46,K_计算机科学_计算机科学技术,数据结构
学生10,男,202500010,适应者,69.25,8.6,32.47,95.01,27.22,48.37,K_计算机科学_计算机科学技术,数据结构
学生11,女,202500011,同化者,75.44,89.87,57.69,68.51,29.77,58.25,K_计算机科学_计算机科学技术,算法分析
学生12,女,202500012,适应者,46.34,58.08,45.62,88.03,2.31,42.5,K_计算机科学_计算机科学技术,数据结构
学生13,男,202500013,同化者,76.92,71.7,44.59,47.13,77.75,64.22,K_计算机科学_计算机科学技术,计算机基础
学生14,男,202500014,同化者,60.58,59.12,46.05,54.38,65.51,57.77,K_计算机科学_计算机科学技术,算法分析
学生15,男,202500015,适应者,57.65,59.58,9.67,75.18,87.39,60.67,K_计算机科学_计算机科学技术,算法分析
学生16,男,202500016,收敛者,58.27,58.06,53.63,35.39,78.69,58.87,K_计算机科学_计算机科学技术,计算机基础
学生17,男,202500017,收敛者,67.99,59.29,20.52,67.37,95.64,65.8,K_计算机科学_计算机科学技术,计算机基础
学生18,男,202500018,同化者,84.03,78.67,53.24,61.43,14.54,51.97,K_计算机科学_计算机科学技术,数据结构
学生19,女,202500019,同化者,4.14,39.57,93.21,61.29,99.55,65.55,K_计算机科学_计算机科学技术,数据结构
学生20,女,202500020,发散者,21.68,69.68,87.55,8.24,46.47,44.4,K_计算机科学_计算机科学技术,计算机基础
学生21,女,202500021,发散者,66.79,63.82,97.29,47.46,73.8,70.83,K_计算机科学_计算机科学技术,计算机基础
学生22,男,202500022,发散者,14.23,70.77,6.02,14.85,5.07,15.62,K_计算机科学_计算机科学技术,数据结构
学生23,男,202500023,适应者,66.74,83.4,28.07,2.6,60.8,46.06,K_计算机科学_计算机科学技术,算法分析
学生24,女,202500024,发散者,18.35,37.37,10.51,52.43,78.74,43.62,K_计算机科学_计算机科学技术,数据结构
学生25,男,202500025,发散者,60.72,61.43,22.24,45.08,38.77,43.38,K_计算机科学_计算机科学技术,算法分析
学生26,男,202500026,收敛者,38.6,10.11,59.13,30.88,18.01,32.14,K_计算机科学_计算机科学技术,计算机基础
学生27,女,202500027,收敛者,88.16,85.11,81.87,19.08,61.43,64.76,K_计算机科学_计算机科学技术,数据结构
